estacion,fecha,altura_relativa_mm
EBPT,2021-01-06,0.00
EBPT,2021-01-13,5.11
EBPT,2021-01-20,4.28
EBPT,2021-01-27,6.31
EBPT,2021-02-03,8.91
EBPT,2021-02-10,11.90
EBPT,2021-02-17,7.77
EBPT,2021-02-24,12.78
EBPT,2021-03-03,6.84
EBPT,2021-03-10,11.30
EBPT,2021-03-17,4.94
EBPT,2021-03-24,6.20
EBPT,2021-03-31,9.30
EBPT,2021-04-07,4.91
EBPT,2021-04-14,4.18
EBPT,2021-04-21,5.43
EBPT,2021-04-28,5.83
EBPT,2021-05-05,-3.15
EBPT,2021-05-12,0.11
EBPT,2021-05-19,1.25
EBPT,2021-05-26,-1.64
EBPT,2021-06-02,-4.76
EBPT,2021-06-09,-7.46
EBPT,2021-06-16,-10.02
EBPT,2021-06-23,-8.34
EBPT,2021-06-30,-10.71
EBPT,2021-07-07,-5.52
EBPT,2021-07-14,-7.93
EBPT,2021-07-21,-8.36
EBPT,2021-07-28,-9.70
EBPT,2021-08-04,-10.30
EBPT,2021-08-11,-6.31
EBPT,2021-08-18,-7.77
EBPT,2021-08-25,-4.98
EBPT,2021-09-01,-4.95
EBPT,2021-09-08,-7.15
EBPT,2021-09-15,-6.56
EBPT,2021-09-22,-5.86
EBPT,2021-09-29,-5.95
EBPT,2021-10-06,-3.68
EBPT,2021-10-13,-2.93
EBPT,2021-10-20,-6.47
EBPT,2021-10-27,-7.20
EBPT,2021-11-03,-5.35
EBPT,2021-11-10,-5.72
EBPT,2021-11-17,-2.86
EBPT,2021-11-24,-6.88
EBPT,2021-12-01,0.71
EBPT,2021-12-29,4.02
EBPT,2022-01-12,0.90
EBPT,2022-01-19,2.62
EBPT,2022-01-26,5.01
EBPT,2022-02-02,4.50
EBPT,2022-02-09,8.40
EBPT,2022-02-16,2.64
EBPT,2022-02-23,0.86
EBPT,2022-03-02,6.36
EBPT,2022-03-09,8.96
EBPT,2022-03-16,5.10
EBPT,2022-03-23,4.17
EBPT,2022-03-30,3.11
EBPT,2022-04-06,1.60
EBPT,2022-04-13,-1.06
EBPT,2022-05-11,-2.70
EBPT,2022-05-18,-5.78
EBPT,2022-05-25,-5.73
EBPT,2022-06-01,-4.16
EBPT,2022-08-17,-6.95
EBPT,2022-08-24,-7.91
EBPT,2022-08-31,-5.65
EBPT,2022-09-07,-10.97
EBPT,2022-09-14,-12.56
EBPT,2022-09-21,-12.89
EBPT,2022-09-28,-7.44
EBPT,2022-10-05,-11.33
EBPT,2022-10-12,-7.28
EBPT,2022-10-19,-6.00
EBPT,2022-10-26,-9.22
EBPT,2022-11-02,-8.42
EBPT,2022-11-09,-7.11
EBPT,2022-11-16,-9.85
EBPT,2022-11-23,-8.60
EBPT,2022-11-30,-6.33
EBPT,2022-12-07,-5.45
